search_category,job_title,company_name,location,job_description,salary,experience_years
Data Analyst,Billing Data Analyst,Randstad General Staffing,"3122 Mahan Dr Ste 404, Tallahassee, FL 32308","Salary: $23.00 - 23.50 per hour + none
Reference: AB_4829296
CANDIDATES MUST RESIDE IN FLORIDA The Data Analyst will play a key role in ensuring accurate utility billing and delivering actionable insights that support business decisions. This role requires advanced Excel expertise, extensive problem-solving skills, and the ability to learn quickly and work independently. While not required, familiarity or interest in scripting languages (Python, VBA) or SQL is a plus.
salary: $23 - $23.5 per hour
shift: First
work hours: 8 AM - 5 PM
education: High School

Responsibilities
Operate and maintain billing systems, ensuring accuracy in client rates, meter readings, and customer data.
Perform advanced Excel analysis (pivot tables, nested formulas, Power Query, macros/VBA preferred).
Identify data anomalies, cleanse and validate large datasets, and recommend corrective actions.
Support recurring and ad hoc reporting for internal teams and external clients.
Develop clear visualizations and reports to communicate insights effectively.
Document and improve data and billing processes for efficiency and accuracy.
Support billing operations, including weekly and month-end bill cycles, reconciliations and data integrity checks.
Partner with business users to understand data needs, resolve inquiries, and provide decision support.

Skills
Advanced Excel (5 years of experience is required)
Billing
Analytical Thinking
Self Starter
SQL
Python
Data Migration

Qualifications
Years of experience: 5 years
Experience level: Experienced

Randstad is a world leader in matching great people with great companies. Our experienced agents will listen carefully to your employment needs and then work diligently to match your skills and qualifications to the right job and company. Whether you're looking for temporary, temporary-to-permanent or permanent opportunities, no one works harder for you than Randstad.

Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.

At Randstad, we welcome people of all abilities and want to ensure that our hiring and interview process meets the needs of all applicants. If you require a reasonable accommodation to make your application or interview experience a great one, please contact HRsupport@randstadusa.com.

Pay offered to a successful candidate will be based on several factors including the candidate's education, work experience, work location, specific job duties, certifications, etc. In addition, Randstad offers a comprehensive benefits package, including: medical, prescription, dental, vision, AD&D, and life insurance offerings, short-term disability, and a 401K plan (all benefits are based on eligibility).

This posting is open for thirty (30) days.",$23.00 - $23.50 an hour,5+
Data Analyst,"Associate Director, TAIP Principal Analyst - Trial Analytics, Insights & Planning (TAIP)",Bristol-Myers Squibb,"Princeton, NJ","Working with Us
Challenging. Meaningful. Life-changing. Those aren't words that are usually associated with a job. But working at Bristol Myers Squibb is anything but usual. Here, uniquely interesting work happens every day, in every department. From optimizing a production line to the latest breakthroughs in cell therapy, this is work that transforms the lives of patients, and the careers of those who do it. You'll get the chance to grow and thrive through opportunities uncommon in scale and scope, alongside high-achieving teams. Take your career farther than you thought possible.

Bristol Myers Squibb recognizes the importance of balance and flexibility in our work environment. We offer a wide variety of competitive benefits, services and programs that provide our employees with the resources to pursue their goals, both at work and in their personal lives. Read more: careers.bms.com/working-with-us .

Position Summary

The TAIP Principal Analyst is a mid-senior level role within Bristol Myers Squibb's Trial Analytics, Insights, and Planning (TAIP) organization - an internal consulting team focused on accelerating clinical development through advanced analytics and strategic trial planning.

In this role, you will lead end-to-end analytics delivery for one or more clinical trials, managing a global project team of 3-5 Analysts and Senior Analysts. Embedded within the study team, you will serve as the key analytics partner, translating trial needs into data-driven strategies, coordinating feasibility, forecasting, and performance tracking, and driving informed decision-making throughout execution.

You will apply a strong foundation in both clinical trial science and applied analytics - from understanding protocol design and patient population logic to developing and interpreting forecasting models, dashboards, and operational metrics. You will also contribute to integrating insights from various sources-including recruitment strategies, social media, and field-based inputs-while supporting study design decisions informed by cost and optimization analytics.

This is an ideal opportunity for professionals with backgrounds in consulting, clinical operations, or trial analytics who are ready to take ownership of delivery and help shape the success of global studies.

Key Responsibilities
Own study-level analytics planning and delivery from protocol concept through execution
Lead a project team of 3-5 analysts and senior analysts within a trial delivery context, ensuring coordinated, high-quality, and timely execution of deliverables
Translate study objectives into analytical workstreams, including feasibility, enrollment forecasting, site scoring, and performance dashboards
Engage directly with cross-functional study team members (clinical, feasibility, ops, TA leads), ensuring alignment and scientific rigor in all analytics
Contribute to cost analysis efforts, including evaluating country mix and protocol design trade-offs
Lead study optimization analytics, including assessment of patient and site burden, competitive trial landscape, and other key data sources
Coordinate with field-based teams to incorporate on-the-ground insights into feasibility and site strategy
Utilize advanced analytics tools and platforms to generate, structure, and communicate trial data
Support planning and forecasting activities with implications for clinical supply, patient flow, and site-level requirements
Ensure consistency and scalability in tools, assumptions, and outputs across trials and teams
Escalate risks and identify opportunities to accelerate trial execution using data-driven insights
Provide relevant data and insights to support clinical supply team, ensuring alignment between clinical planning and supply chain requirements
Applies critical thinking to analyze complex data, challenge assumptions, and generate strategic, evidence-based recommendations
Qualifications & Experience
Education: Preferred advanced degree (MBA, MSc, MPH, PharmD, PhD, or equivalent) in a relevant field
Experience:
6-8+ years of experience in clinical analytics, management consulting, or trial strategy is required
Prior exposure to clinical trial delivery processes and data-driven decision making
Strong therapeutic area knowledge in one or more of: Oncology, Neuroscience, Cell Therapy, Hematology, Immunology, or Cardiovascular
Proven ability to lead cross-functional teams and manage multiple priorities
Skills:
Strong structured problem-solving and communication abilities
Experience with analytics tools (e.g., Excel, PowerBI, R, Python) a plus
Comfort working in fast-paced, matrixed environments with global teams
Why Join This Team?
Own End-to-End Delivery: Take full accountability for analytics execution across high-impact global trials
Lead and Develop Talent: Manage and mentor a global team of high-performing analysts and senior analysts
Operate as an Internal Consultant: Shape trial strategies through hands-on analytics and close collaboration with study leadership
Advance Through a Clear Career Path: Progress within a structured, consulting-style career ladder-with transparent expectations and ~2-3 years per level
Step Into Broader Strategy Leadership: This role is a proven pathway to enterprise-level strategy and leadership roles across BMS, with development actively supported and incentivized
Accelerate Patient Access: Contribute to smarter, faster clinical trials that help bring therapies to patients more efficiently
The starting compensation for this job is a range from $173,900 - $210,700, plus incentive cash and stock opportunities (based on eligibility). The starting pay rate takes into account characteristics of the job, such as required skills and where the job is performed. Final, individual compensation will be decided based on demonstrated experience. Eligibility for specific benefits listed on our careers site may vary based on the job and location. For more on benefits, please visit https://careers.bms.com/life-at-bms/. Benefit offerings are subject to the terms and conditions of the applicable plans then in effect and may include the following: Medical, pharmacy, dental and vision care. Wellbeing support such as the BMS Living Life Better program and employee assistance programs (EAP). Financial well-being resources and a 401(K). Financial protection benefits such as short- and long-term disability, life insurance, supplemental health insurance, business travel protection and survivor support. Work-life programs include paid national holidays and optional holidays, Global Shutdown Days between Christmas and New Year's holiday, up to 120 hours of paid vacation, up to two (2) paid days to volunteer, sick time off, and summer hours flexibility. Parental, caregiver, bereavement, and military leave. Family care services such as adoption and surrogacy reimbursement, fertility/infertility benefits, support for traveling mothers, and child, elder and pet care resources. Other perks like tuition reimbursement and a recognition program.

If you come across a role that intrigues you but doesn't perfectly line up with your resume, we encourage you to apply anyway. You could be one step away from work that will transform your life and career.

Uniquely Interesting Work, Life-changing Careers
With a single vision as inspiring as Transforming patients' lives through science™ , every BMS employee plays an integral role in work that goes far beyond ordinary. Each of us is empowered to apply our individual talents and unique perspectives in a supportive culture, promoting global participation in clinical trials, while our shared values of passion, innovation, urgency, accountability, inclusion and integrity bring out the highest potential of each of our colleagues.

On-site Protocol

BMS has an occupancy structure that determines where an employee is required to conduct their work. This structure includes site-essential, site-by-design, field-based and remote-by-design jobs. The occupancy type that you are assigned is determined by the nature and responsibilities of your role:

Site-essential roles require 100% of shifts onsite at your assigned facility. Site-by-design roles may be eligible for a hybrid work model with at least 50% onsite at your assigned facility. For these roles, onsite presence is considered an essential job function and is critical to collaboration, innovation, productivity, and a positive Company culture. For field-based and remote-by-design roles the ability to physically travel to visit customers, patients or business partners and to attend meetings on behalf of BMS as directed is an essential job function.

BMS is dedicated to ensuring that people with disabilities can excel through a transparent recruitment process, reasonable workplace accommodations/adjustments and ongoing support in their roles. Applicants can request a reasonable workplace accommodation/adjustment prior to accepting a job offer. If you require reasonable accommodations/adjustments in completing this application, or in any part of the recruitment process, direct your inquiries to adastaffingsupport@bms.com . Visit careers.bms.com/ eeo -accessibility to access our complete Equal Employment Opportunity statement.

BMS cares about your well-being and the well-being of our staff, customers, patients, and communities. As a result, the Company strongly recommends that all employees be fully vaccinated for Covid-19 and keep up to date with Covid-19 boosters.

BMS will consider for employment qualified applicants with arrest and conviction records, pursuant to applicable laws in your area.

If you live in or expect to work from Los Angeles County if hired for this position, please visit this page for important additional information: https://careers.bms.com/california-residents/

Any data processed in connection with role applications will be treated in accordance with applicable data privacy policies and regulations.","$173,900 - $210,700 a year",6-8
Data Analyst,Data Analyst,PangeaTwo,"Birmingham, AL 35243","Data Analyst - Hybrid
$60,000 - $75,000
Birmingham, AL
Our client is seeking a Data Analyst to join their team. This position plays a key role in ensuring the accuracy, consistency, and integrity of product data across the organization. The ideal candidate will be highly analytical, detail-oriented, and able to communicate effectively with both internal stakeholders and external partners.
Key Responsibilities
Create, input, review, approve, and distribute product master data using established tools and workflows.
Partner with vendors and third parties to collect and update product information.
Support business processes, product launches, and integration activities by managing data requests.
Enhance data quality through cleansing, auditing, and implementing best practices.
Provide input into the design of PIM data templates and process workflows.
Act as a data steward, collaborating with teams to align business needs with accurate product data.
Identify opportunities to improve efficiency, automation, and data quality.
Partner cross-functionally to deliver data outputs and troubleshoot any issues.
Contribute to continuous improvement projects and other duties as assigned.
Qualifications
Bachelor’s degree in business, operations, marketing, or a related field (or equivalent experience).
0–2 years of related experience in data analysis, operations, or product information management.
Proficiency in Microsoft Office Suite (Excel, Word, PowerPoint, Outlook).
Strong analytical and problem-solving skills, with a drive for process improvement.
Excellent written and verbal communication skills.
Knowledge of workflow methodologies (Lean Six Sigma, Kanban, etc.) preferred.
Experience with PIM platforms (Stibo, Salsify, inRiver, Oracle, etc.) a plus.
Familiarity with business intelligence tools (Power BI, Tableau, Qlik, etc.) strongly preferred.
Positive, collaborative attitude with the ability to thrive in a team environment.

At our clients’ request, only individuals with required experience will be considered.

Please note - if you have recently submitted your resume to a PangeaTwo posting, your qualifications will be considered for other open opportunities.

Your resume will never be submitted to a client without your prior knowledge and consent to do so.

IND123","$60,000 - $75,000 a year",0-2
Data Analyst,FINANCIAL REPORTING ANALYST YORK PA,Storage Asset Management,"York, PA 17402","Storage Asset Management is a property management and consulting company that specializes in self-storage. With over 70 years of executive industry experience, SAM employs an incredible team of employees on every level.

Storage Asset Management is proud to have over 900 employees at the store, regional and corporate office level.
Benefits of Joining SAM:
A dynamic company with an award-winning culture
A clear path for advancement within our thriving company
Competitive pay and lucrative bonuses
Paid maternity and paternity leave
Comprehensive healthcare and 401(k) plan
Comprehensive training and development programs
SAM was voted Central Penn Business Journal’s Best Places to work in PA 2020, 2021, 2022, and 2023, and 2024, and 2025!

Summary:
This full-time position will work closely in many facets of the operations department. The Business Reporting Analyst will be involved in commissions, maintaining user specifications in multiple systems, general reporting and company standardization efforts. This individual will work cross-functionally, assisting with interdepartmental projects and processes.
Essential Duties & Responsibilities:
Analyze financial and operational data and provide information to assist senior management in making good business decisions
Manage and coordinate the annual budgeting process
Forecast performance for potential acquisitions and existing stores
Perform other ad-hoc reporting and analyses for the organization.
Analyze data to propose changes to improve efficiency and net income
May be asked to lead implementation of changes in Operations as a result.

Education and/or Experience Requirements:
Bachelor’s Degree or similar experience in related position. Strong verbal/written communication skills and ability to work independently as well as in groups.
· Highly organized with an aptitude for problem-solving
Attention to detail and a high level of accuracy and confidentiality
Great time management
Experience with planning and executing new process rollout
Strong computer skills with experience in Microsoft Office (Work, Excel, Outlook, etc.)
Language Skills: Must be fluent in speaking and writing the English language.
Work Hours: In a typical week, this position requires a minimum of 40 hours
Work Environment: This work is usually performed with normal noise levels and minimum exposure to hazardous conditions.
t
Education
Preferred
Bachelors or better in Finance
Skills
Required
Valid Drivers License
Preferred
Financial knowledge
Excel
Data Analysis
Budgets
Reporting
Netsuite
Equal Opportunity Employer
This employer is required to notify all applicants of their rights pursuant to federal employment laws. For further information, please review the Know Your Rights notice from the Department of Labor.","$70,000 a year",N/A
Data Analyst,ERP Analyst,LLoyd Staffing,"Babylon, NY 11702","Immediate need for an Analyst with a strong reporting, ERP and MS Access background for a manufacturing firm.
Key Requirements:
Proficiency in MS Access reporting and data management.
Crystal Reports for developing and maintaining business reports.
Strong background in vendor relations—ability to communicate and coordinate effectively with EDI partners.
This is an excellent opportunity for someone with a mix of technical reporting skills and strong business communication abilities.
Unfortunately, the client isn't able to transfer H1's or sponsor at this time.
#IND123
Job Type: Full-time
Pay: $90,000.00 - $95,000.00 per year
Application Question(s):
Do you have strong reporting, ERP and MS Access background?
Are you able to work on site in Babylon, NY?
Work Location: In person","$90,000 - $95,000 a year",N/A
Data Analyst,Data Reporting Analyst,Robert Half,"Richmond, VA 23060","We are looking for a skilled and driven Data Reporting Analyst to join our team in Richmond, Virginia. In this role, you will focus on analyzing and presenting data to support business decision-making and ensure accurate reporting. This is a Contract-to-permanent position, offering an excellent opportunity to grow your expertise in data analysis and reporting within a collaborative and dynamic environment.

Responsibilities:
Collect, analyze, and interpret data to generate meaningful insights for business operations.
Develop and maintain detailed reports using tools such as SQL and BusinessObjects technologies.
Collaborate with cross-functional teams to ensure data accuracy and consistency.
Create and maintain data models using tools like Erwin Data to support reporting needs.
Utilize business intelligence tools to visualize and present data effectively.
Conduct quality checks and troubleshoot reporting issues to ensure reliability.
Support the implementation of new data reporting processes and tools.
Provide technical guidance and training to team members on data reporting methodologies.
Assist in documenting procedures and best practices for data reporting workflows.
Work closely with stakeholders to gather requirements and deliver customized reports.
At least 2 years of experience in a data analysis or reporting role.
Proficiency in Microsoft SQL and BusinessObjects technologies.
Strong knowledge of business intelligence tools and techniques.
Experience with data modeling tools such as Erwin Data.
Excellent analytical and problem-solving skills.
Ability to work collaboratively with diverse teams and stakeholders.
Strong communication skills, both written and verbal, to explain technical concepts clearly.
Bachelor’s degree in Information Systems, Data Science, or a related field.
Technology Doesn't Change the World, People Do. ®

Robert Half is the world’s first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.

Robert Half works to put you in the best position to succeed. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity - whenever you choose - even on the go. Download the Robert Half app and get 1-tap apply, notifications of AI-matched jobs, and much more.

All applicants applying for U.S. job openings must be legally authorized to work in the United States. Benefits are available to contract/temporary professionals, including medical, vision, dental, and life and disability insurance. Hired contract/temporary professionals are also eligible to enroll in our company 401(k) plan. Visit roberthalf.gobenefits.net for more information.

© 2025 Robert Half. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking “Apply Now,” you’re agreeing to Robert Half’s Terms of Use .",$28.50 - $33.00 an hour,2+
Data Analyst,"Data Analyst III, Human Resources (Hybrid)",Family Health Centers of San Diego,"823 Gateway Center Way, San Diego, CA 92102","Impact Lives, Impact Community
Family Health Centers of San Diego (FHCSD) is passionate about providing exceptional health care to all, especially underserved communities with limited health care options. Founded by a Latina grandmother/community advocate over 50 years ago in Barrio Logan, FHCSD has grown into one of the largest community health systems in the country. With over 90 sites, over 227,000 patients, and over 1.1 million healthcare visits last year, we provide a wide variety of health care and outreach services to a very diverse patient population. We are proud of our mission, our lasting community impact, and the cultural and individual diversity of our staff.
Job Description
Job Roles
Independently and accurately estimates time to create new reports.
Fine-tunes SQL Server queries.
Create scripts using PowerShell.
Creates reports using a variety of applications (e.g., Microsoft Excel, PowerBI, R) that require specific programming skills.
Creates accurate reports that are audience appropriate.
Automates reports based on end-user needs and timelines through use of SSRS/Reporting Services or Scripts.
Modify the organization’s production-level applications in order to optimize reporting capabilities.
Uses interviewing skills to get requirements from end users; coaches lower-level staff on effective interviewing skills.
Documents efficient processes, with a focus on continuous process improvement.
Performs other duties as assigned.

Requirements:
Bachelor's degree in Computer Science, Information Systems, or closely related field required.
Completion of courses in information systems, computer science, relational databases, data management, and/or statistics.
Microsoft Certification MS SQL preferred.
Or equivalent combination of education and experience that provides the skills, knowledge and ability to perform the essential job duties, and which meets any required state or federal certification requirements.
Experience/Specialized skills (including Language)
9+ years of experience using SQL Server
9+ years of experience creating reports using a variety of applications (e.g., Microsoft Excel, PowerBI, R) that require specific programming skills
Experience with a web-based acquisition tool and ETL processes preferred
Advanced knowledge of SQL Server to query databases and manipulate data.
Advanced knowledge of the organization’s relational database architecture.
Intermediate knowledge of statistical principles and methods to describe data.
Intermediate knowledge of healthcare data commonly created through the electronic health record, clinical management information system, and claims and billing process.
Critical thinking; ability to approach problems logically and formulate solutions.
Attention to detail; ability to approach tasks with a high level of accuracy.
Advanced organizational skills including time-management skills, and strong motivation to meet deadlines and achieve goals.
Communication skills; ability to communicate requirements and results effectively to end-users through non-technical terms.
Ability to work well in both a team-based environment and independently.
Knowledge of applicable data privacy practices and laws.
Rewards:
Job type: Hybrid
Competitive Salary with Excellent Benefits
Retirement Plan with Employer Match
Paid Time Off, Extended Sick Leave, and Paid Holidays
Medical/Dental/Vision/FSA/Life Insurance
Employee Discounts and Wellness Programs
#IndIT
In the spirit of pay transparency, we are excited to share the base range for this position, exclusive of fringe benefits.
70,640.00 - 101,537.75
If you are hired at Family Health Centers of San Diego, your final base salary compensation will be determined based on factors such as geographic location, jurisdictional requirements, skills, education, and/or experience. In addition to these factors – we believe in the importance of pay equity and consider internal equity of our current team members as a part of any final offer. Please keep in mind that the range mentioned above is what we reasonably expect to pay for the role. Hiring at the maximum of the range would not be typical in order to allow for future and continued salary growth. We also offer a generous compensation and benefits package (more information on our benefits offerings is available here: FHCSD Wellness – Employee Hub (gobenefits.net)","$70,640.00 - $101,537.75 a year",9+
Data Analyst,Business Analyst,Select Medical,"Mechanicsburg, PA 17055","Overview:
Business Analyst
(On-Site, Mechanicsburg, PA)

***Employer will NOT sponsor work visas for this position now or in the future and is not interested in corp.-to-corp. business arrangements at this time.***

The Business Analyst I is responsible for delivering quality customer service. The Business Analyst I is viewed as a subject matter expert and critical resource across multiple disciplines. The areas of responsibility include completion of assigned tasks to integrate acquisitions, implement application software, and maintain existing applications

In addition, the role will hold the following responsibilities:
Impact You'll Make:
Provide support to projects related to critical hospital applications
Completion of assigned tasks for newly developed functionality and maintenance of existing applications
Creating and maintaining documentation
Testing application functionality
Coordinate and communicate with other IS resources who are assigned to support application issues and project tasks
Responsibilities:

As a Business Specialist, you will provide support to projects related to critical hospital applications. The areas of responsibility include completion of assigned tasks to integrate acquisitions, implement application software, and maintain existing applications. You will be responsible for creating and maintaining documentation as well as testing application functionality. This position must coordinate and communicate with other IS resources who are assigned to support application issues and project tasks. You will also work with vendors on application issues and act as a liaison between application users and vendors.
Qualifications:
Required:
BS or BA or equivalent education and experience (Information Technology or related fields)
1 - 3 years of experience in Business Analysis, including documentation of requirements and ensuring successful integration and/or implementation of projects.
Understanding of SDLC (Software Development Lifecycle)
Some experience with databases (SQL, Oracle, or Access)
Preferred:
The ability to gather information from other project team members as necessary
Great customer service and teamwork skills
Ability to collaborate with the team and business operators
Ability to operate using standard methodologies for the completion of tasks within an agile environment
Analytical and problem-solving skills
Strong computer skills
Additional Data:
Select Medical and its parent company, Select Medical Holdings Corporation (NYSE: SEM), are based in Mechanicsburg, Pennsylvania, and honored to be recognized as one of America’s Best-In-State (Pennsylvania) Employers 2020 by Forbes.

For more information, visit selectmedical.com or https://youtube.com/SelectMedicalTV. Select Medical strives to provide our employees with a solid work-life balance, as we understand that happy employees have both fulfilling careers and fulfilling lives beyond our doors.
An extensive and thorough paid orientation program.
Paid Time Off (PTO) and Extended Illness Days (EID).
Health, Dental, and Vision Insurance; Life insurance; Prescription coverage.
A 401(k) retirement plan with a company match.
“Equal Opportunity Employer/including Disabled/Veterans.“",N/A,1-3
Data Analyst,Data Analyst with Pyspark & AB Testing,Infosys,"Austin, TX 78746","In the role of Data Analyst with Pyspark & AB Testing experience, you will be responsible for solving business problem for our Retail/CPG clients through data driven insights. Your role will combine a judicious and tactful blend of Hi-Tech domain, Analytical experience, Client interfacing skills, and solution design and business acumen so your insights not only enlighten the clients but also pave the way for launching deeper into future analysis. You will advise clients and internal teams through short burst high-impact engagements on identifying business problem, solving business problem through suitable approaches and techniques pertaining to learning and technology. You will effectively communicate data-derived insights to non-technical audiences appropriately and mentor junior or aspiring consultant/data scientists. You will play a key role in building components of a framework or product while addressing practical business problems. You will be part of a learning culture, where teamwork and collaboration are encouraged, excellence is rewarded, and diversity is respected and valued.

Required Qualifications:
Bachelor’s degree or foreign equivalent required from an accredited institution. Will also consider three years of progressive experience in the specialty in lieu of every year of education.
Candidate must be located within commuting distance of Sunnyvale, CA or Austin, TX or be willing to relocate to these locations. This position may require travel within the US.
Candidates authorized to work for any employer in the United States without employer-based visa sponsorship are welcome to apply. Infosys is unable to provide immigration sponsorship for this role at this time.
At least 7 years of experience in Information Technology
Proven years of applied experience in exploratory data analysis, devising, deploying and servicing statistical models
Strong hands-on experience with data mining and data visualization, Tableau, A/B Testing, SQL for developing and creating data pipelines to source and transform Data
Strong experience using Python, Advanced SQL and PySpark
Preferred Qualifications:
Advanced degree with Master’s or above in in area of quantitative discipline such as Statistics, Applied Math, Operations Research, Computer Science, Engineering or Physics or a related field
Marketing domain background (Web analytics, click stream data analysis, and other KPI’s on marketing campaigns)
Knowledge of Machine Learning techniques
The job entails sitting as well as working at a computer for extended periods of time. Should be able to communicate by telephone, email or face to face. Travel may be required as per the job requirements.

Estimated annual compensation range for candidate based in the below locations will be -
Sunnyvale, CA - $104,153 to $173,693

Along with competitive pay, as a full-time Infosys employee you are also eligible for the following benefits :-
Medical/Dental/Vision/Life Insurance
Long-term/Short-term Disability
Health and Dependent Care Reimbursement Accounts
Insurance (Accident, Critical Illness , Hospital Indemnity, Legal)
401(k) plan and contributions dependent on salary level
Paid holidays plus Paid Time Off","$104,153 - $173,693 a year",7+
Data Analyst,Samsung Repair Quality Data Analyst,"2020 Companies, Inc.","6625 Excellence Way, Plano, TX 75023","Job Type:
Regular
Work Location:
Samsung Electronics America - Plano, TX 75023
Overview:
2020 Companies has a full-time Data Analyst opportunity representing our client, Samsung Electronics America.
This position requires onsite presence Monday through Friday at the Samsung Corporate Office in Plano, TX.
The Data Analyst will support the entire Service/Repair Quality management team for Samsung, focusing on in-depth nationwide data, trends, analysis for recommendations and improvements. The position will ensure all data is captured appropriately, reported against, and maintained clearly and accurately for the leadership team to review and act. The role of a data analyst is to ensure reliable data by setting standards, identifying root causes, and helping to resolve issues.
What's in it for you?
Competitive hourly wage, paid weekly
Next day pay on-demand with DailyPay
Health/Dental/Vision benefits
401K Program with matching
Paid Time Off
Paid Holidays
$30 Mobile Reimbursement
Scholarship opportunities for employees and direct family members
Employee Assistance Program
Leadership Development Program
Job Description:
Collect the data from different sources either it may be raw data, structured data, or ASC’s data, and convert that data to meaningful and useful data for the organization
Collects, cleans, and interprets data sets to answer a question or solve problem
Manages and analyzes the customer provided data for warranties and bounce return
Responsible for monitoring, collecting, and collating repair data using field metrics
Creating dashboards and reports for all levels of Samsung Quality Management and Care Teams

Qualifications:
Preferred Bachelor’s Degree, from an accredited college or university, or equivalent work experience in the telecommunications industry
Preferred 1+ years’ experience in a quality or wireless telecommunications position and long-term customer contact and relationship building
Experience setting up Quality/Sustaining engineering processes and procedures
Previous experience with OEM handset products, a combination of CDMA and GSM, and project/product management skills
Experience researching and resolving customer technical complaints and issues
Experience with using statistical process control and failure mode effect analysis FMEA (Failure Mode and Effects Analysis) applications
The ability to understand significant knowledge of circuit design of wireless handsets
The ability to develop and maintain excellent working relationships with multiple levels within the company and with external contacts including customers & authorized service agents etc.
The ability to gather and analyze data from multiple sources, prepare spreadsheets, charts, graphs, and tables of information, and to plan and prioritize multiple work assignments
The ability to read, write, provide critical technical reviews, prepare reports, and understand technical manuals, test procedures, and technical product information
Read and interpret detailed and complex customer requirements
Fully understanding of department KPIs and expectations

Physical/Mental Demands and Working Conditions:
Operate PC more than 75% of work time in an alternating sedentary and highly mobile position
High level of visual acuity, numeric/character distinction, and moderate color distinction for accurate test equipment operation, information analysis, and error recognition
Understanding complex Math and reading
Ability for analysis/comprehension and judgement/decision making
Demonstrated competency in both oral and written communication modes for both internal and external personnel at various levels
Work independently and in a team environment, in order to achieve personal and team goals and complete assignments within established time frames
What You Can Expect From 2020 Companies
We welcome every voice, and we are committed to building a truly inclusive environment where your differences are not just welcomed, they are celebrated. We are always identifying opportunities to encourage our team to be their authentic selves, while working to provide a best-in-class experience for our employees. Whether that’s paid holidays, long-term career pathing options, personal development opportunities or professional stretch assignments, you can expect 2020 Companies to support you.

2020’s Commitment
We are committed to creating a diverse and inclusive organization and are proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other dimensions of identity.",N/A,1+
